Variant name	Variant source	Chromosome/scaffold name	Chromosome/scaffold position start (bp)	Chromosome/scaffold position end (bp)
rs10850409	dbSNP	12	114943935	114943935
rs10853525	dbSNP	18	44856687	44856687
rs10865879	dbSNP	3	38535871	38535871
rs11153730	dbSNP	6	118346359	118346359
rs11700980	dbSNP	21	28781917	28781917
rs11708996	dbSNP	3	38592432	38592432
rs11710077	dbSNP	3	38616408	38616408
rs11848785	dbSNP	14	71590638	71590638
rs12036340	dbSNP	1	162045950	162045950
rs12039739	dbSNP	1	115790490	115790490
rs12880291	dbSNP	14	71417850	71417850
rs13165478	dbSNP	5	154489480	154489480
rs13185595	dbSNP	5	154492610	154492610
rs13195040	dbSNP	6	27446145	27446145
rs1321311	dbSNP	6	36655123	36655123
rs13314892	dbSNP	3	69745901	69745901
rs1344852	dbSNP	4	20182314	20182314
rs1362212	dbSNP	7	35265695	35265695
rs1408224	dbSNP	13	46641083	46641083
rs1419856	dbSNP	7	35267372	35267372
rs17020136	dbSNP	2	37020872	37020872
rs1733724	dbSNP	10	52464217	52464217
rs17391905	dbSNP	1	51080468	51080468
rs174577	dbSNP	11	61837342	61837342
rs17608766	dbSNP	17	46935905	46935905
rs1886512	dbSNP	13	73946049	73946049
rs1991601	dbSNP	2	174603041	174603041
rs2025096	dbSNP	20	34952197	34952197
rs2051211	dbSNP	3	38518258	38518258
rs2207790	dbSNP	1	61432295	61432295
rs2242285	dbSNP	3	66381178	66381178
rs2242285	dbSNP	CHR_HG2235_PATCH	66381274	66381274
rs242562	dbSNP	17	45949373	45949373
rs242562	dbSNP	CHR_HSCHR17_1_CTG5	46148432	46148432
rs242562	dbSNP	CHR_HSCHR17_2_CTG5	45961023	45961023
rs2997447	dbSNP	1	26060932	26060932
rs359466	dbSNP	5	173888863	173888863
rs3770770	dbSNP	2	36965723	36965723
rs3777755	dbSNP	6	12159466	12159466
rs3825214	dbSNP	12	114357638	114357638
rs3929778	dbSNP	20	6479643	6479643
rs4687718	dbSNP	3	53248287	53248287
rs4708832	dbSNP	6	159472905	159472905
rs6683273	dbSNP	1	3342619	3342619
rs6795970	dbSNP	3	38725184	38725184
rs6801957	dbSNP	3	38725824	38725824
rs6968945	dbSNP	7	46601302	46601302
rs7132327	dbSNP	12	114943266	114943266
rs7211246	dbSNP	17	30158744	30158744
rs7283707	dbSNP	21	15754675	15754675
rs728926	dbSNP	13	73938985	73938985
rs7342028	dbSNP	10	112719503	112719503
rs7537765	dbSNP	1	11827246	11827246
rs7562790	dbSNP	2	36446412	36446412
rs7771320	dbSNP	6	7502516	7502516
rs7909027	dbSNP	10	18406963	18406963
rs7918405	dbSNP	10	112745706	112745706
rs879568	dbSNP	18	36731696	36731696
rs883079	dbSNP	12	114355435	114355435
rs9436640	dbSNP	1	61408005	61408005
rs9470361	dbSNP	6	36655602	36655602
rs9851724	dbSNP	3	38678444	38678444
rs991014	dbSNP	18	44859921	44859921
rs9912468	dbSNP	17	66322239	66322239
