gene	chromosome	gene_tss	gene_end
MT-TF	MT	577	647
MT-RNR1	MT	648	1601
MT-TV	MT	1602	1670
MT-RNR2	MT	1671	3229
MT-TL1	MT	3230	3304
MT-ND1	MT	3307	4262
MT-TI	MT	4263	4331
MT-TQ	MT	4400	4400
MT-TM	MT	4402	4469
MT-ND2	MT	4470	5511
MT-TW	MT	5512	5579
MT-TA	MT	5655	5655
MT-TN	MT	5729	5729
MT-TC	MT	5826	5826
MT-TY	MT	5891	5891
MT-CO1	MT	5904	7445
MT-TS1	MT	7514	7514
MT-TD	MT	7518	7585
MT-CO2	MT	7586	8269
MT-TK	MT	8295	8364
MT-ATP8	MT	8366	8572
MT-ATP6	MT	8527	9207
MT-CO3	MT	9207	9990
MT-TG	MT	9991	10058
MT-ND3	MT	10059	10404
MT-TR	MT	10405	10469
MT-ND4L	MT	10470	10766
MT-ND4	MT	10760	12137
MT-TH	MT	12138	12206
MT-TS2	MT	12207	12265
MT-TL2	MT	12266	12336
MT-ND5	MT	12337	14148
MT-ND6	MT	14673	14673
MT-TE	MT	14742	14742
MT-CYB	MT	14747	15887
MT-TT	MT	15888	15953
MT-TP	MT	16023	16023
5_8S_rRNA	KI270442.1	217401	217401
AC240274.1	KI270711.1	24650	29626
5S_rRNA	KI270442.1	380608	380726
BX004987.1	GL000009.2	58376	58376
OPRL1	CHR_HSCHR20_1_CTG3	64097802	64100643
NPBWR2	CHR_HSCHR20_1_CTG3	64107171	64107171
AC226131.1	CHR_HSCHR20_1_CTG3	64147290	64147290
MYT1	CHR_HSCHR20_1_CTG3	64155437	64245898
AL121581.1	CHR_HSCHR20_1_CTG3	64211718	64278487
PCMTD2	CHR_HSCHR20_1_CTG3	64259386	64278487
KIR3DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54726054	54736537
KIR2DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54738538	54753053
KIR2DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54755024	54767369
KIR2DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54769838	54784324
KIR3DP1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54786463	54790318
KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54803599	54814548
LILRP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54700593	54700905
AC245128.39	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54703952	54704235
LILRP2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54707916	54713453
KIR3DL1	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54816470	54830813
AC245128.35	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54703952	54704235
AC025771.3	CHR_HSCHR5_2_CTG1	29079384	29079498
AC025771.2	CHR_HSCHR5_2_CTG1	29113759	29114317
LINC02109	CHR_HSCHR5_2_CTG1	29152383	29181238
AC112172.1	CHR_HSCHR5_2_CTG1	29200579	29225491
KIR2DS4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54832771	54848624
AC208876.2	CHR_HSCHR2_2_CTG1	745961	754657
KIR3DL2	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54850514	54867258
AC208876.1	CHR_HSCHR2_2_CTG1	753629	754224
AC116609.3	CHR_HSCHR2_2_CTG1	859032	859032
U6	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54869088	54869088
AC245128.15	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54703952	54704235
FCAR	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54874290	54891462
GU182359.6	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54738476	54752501
