	SNPS	PUBMEDID	MAPPED_TRAIT	STRONGEST SNP-RISK ALLELE	P-VALUE	OR or BETA	95% CI (TEXT)	CONTEXT	Risk_Allele
65	rs1733724	27659466	"QRS complex, QRS duration"	rs1733724-?	4.00E-08			intron_variant	?
88	rs7909027	27659466	"QRS amplitude, QRS complex"	rs7909027-?	4.00E-08			intron_variant	?
20	rs6683273	27659466	"QRS complex, QRS duration"	rs6683273-?	3.00E-08			intron_variant	?
35	rs3777755	27659466	"QRS amplitude, QRS complex"	rs3777755-?	3.00E-08			intron_variant	?
75	rs13195040	27659466	"QRS amplitude, QRS complex"	rs13195040-?	3.00E-08			intergenic_variant	?
86	rs359466	27659466	"QRS amplitude, QRS complex"	rs359466-?	3.00E-08			5_prime_UTR_variant	?
19	rs4708832	27659466	"QRS complex, QRS duration"	rs4708832-?	2.00E-08			intron_variant	?
26	rs11700980	27659466	"QRS amplitude, QRS complex"	rs11700980-?	2.00E-08			regulatory_region_variant	?
31	rs17391905	27659466	"QRS amplitude, QRS complex"	rs17391905-?	2.00E-08			intergenic_variant	?
34	rs2997447	27659466	"QRS amplitude, QRS complex"	rs2997447-?	2.00E-08			intron_variant	?
40	rs7537765	27659466	"QRS amplitude, QRS complex"	rs7537765-?	2.00E-08			intron_variant	?
41	rs7771320	27659466	"QRS amplitude, QRS complex"	rs7771320-?	2.00E-08			intergenic_variant	?
79	rs17608766	27659466	"QRS amplitude, QRS complex"	rs17608766-?	2.00E-08			3_prime_UTR_variant	?
28	rs13314892	27659466	"QRS amplitude, QRS complex"	rs13314892-?	9.00E-09	157.82	[104.02-211.62] unit increase	intron_variant	?
67	rs17608766	27659466	"QRS complex, QRS duration"	rs17608766-?	9.00E-09			3_prime_UTR_variant	?
1	rs879568	27659466	"QRS complex, QRS duration"	rs879568-?	8.00E-09	0.33	[0.21-0.45] unit decrease	intron_variant	?
60	rs12039739	27659466	"QRS complex, QRS duration"	rs12039739-?	7.00E-09	0.39	[0.25-0.53] unit decrease	regulatory_region_variant	?
16	rs2242285	27659466	"QRS complex, QRS duration"	rs2242285-?	6.00E-09	0.34	[0.22-0.46] unit increase	intron_variant	?
32	rs1991601	27659466	"QRS amplitude, QRS complex"	rs1991601-?	6.00E-09			intron_variant	?
38	rs7211246	27659466	"QRS amplitude, QRS complex"	rs7211246-?	6.00E-09	115.62	[76.66-154.58] unit increase	intron_variant	?
81	rs3929778	27659466	"QRS amplitude, QRS complex"	rs3929778-?	6.00E-09	20.69	[13.71-27.67] unit increase	intron_variant	?
0	rs6968945	27659466	"QRS complex, QRS duration"	rs6968945-?	5.00E-09	0.34	[0.22-0.46] unit increase	intergenic_variant	?
39	rs7283707	27659466	"QRS amplitude, QRS complex"	rs7283707-?	4.00E-09	175.56	[117.17-233.95] unit increase	intron_variant	?
84	rs9470361	27659466	"QRS amplitude, QRS complex"	rs9470361-?	2.00E-09			regulatory_region_variant	?
27	rs12036340	27659466	"QRS amplitude, QRS complex"	rs12036340-?	1.00E-09	145.11	[98.05-192.17] unit decrease	intergenic_variant	?
62	rs1344852	27659466	"QRS complex, QRS duration"	rs1344852-?	1.00E-09	0.47	[0.31-0.63] unit decrease	intergenic_variant	?
64	rs17020136	27659466	"QRS complex, QRS duration"	rs17020136-?	1.00E-09			intron_variant	?
76	rs1321311	27659466	"QRS amplitude, QRS complex"	rs1321311-?	1.00E-09			regulatory_region_variant	?
93	rs11153730	27659466	"QRS amplitude, QRS complex"	rs11153730-?	1.00E-09			intergenic_variant	?
18	rs4687718	27659466	"QRS complex, QRS duration"	rs4687718-?	7.00E-10	0.57	[0.39-0.75] unit decrease	intron_variant	?
